"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7","PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7","PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7","335/8349","399/21728",1.09620135848785e-79,5.95127717523055e-76,2.46703000468108e-76,"8837/7035/3675/3423/5329/23177/2067/25937/10953/960/4285/56938/9497/1829/9454/8574/23224/2581/2817/259266/6672/1316/55746/10272/79364/87/8974/5523/10644/771/11343/56005/64778/79960/83737/22839/3693/5019/57613/3797/22924/966/2017/5829/2099/54930/7430/8318/3589/8317/79019/7494/23002/3705/145508/4522/9252/10544/655/182/5422/5935/6445/8797/4173/94239/858/4233/113263/9678/2146/55744/64420/6461/7763/81855/9120/23158/11275/51088/64151/91057/10938/54733/79611/10635/7421/7915/55754/4001/5618/7903/8614/79669/3694/6772/80303/3398/3241/57535/3953/2494/54996/9324/9429/89891/8111/5507/79946/84418/7112/80298/8702/80008/10124/11228/57580/56937/1026/84899/10045/27111/6495/57570/83543/1123/1854/79733/57509/58986/55780/3949/7837/54869/51659/6451/9467/3597/64087/63979/5994/4017/9695/3601/85004/90853/1573/1824/29923/4907/3915/55332/6426/58472/8412/26509/3832/80312/150864/55329/3033/675/54509/10150/8451/9990/597/10099/57707/7157/5366/83442/84958/148932/1580/8543/6004/81609/8416/148327/6016/2590/1130/129642/2177/26018/90102/4651/5295/170954/2041/27316/7739/203228/9536/8479/3688/26524/7424/121551/29087/79682/26272/130340/26353/5140/23171/118932/5352/5578/57630/55005/116442/9630/118980/115509/776/4643/26060/2114/257397/6781/3099/9715/353355/149076/7033/64699/5116/9401/3678/51278/80232/7039/9076/56992/55764/4486/134147/10559/55568/79685/26872/116039/11168/6850/2203/221150/144455/161742/55839/201161/29123/51129/54442/956/1841/8754/753/255743/25849/5865/6383/9022/1501/10477/3814/11214/5569/1826/6919/83695/3669/10276/1212/146691/84002/7298/284119/56475/348654/79962/767/80010/1104/6657/286451/375061/302/5121/389677/6525/131583/55010/7026/5087/5727/51741/89958/64757/4673/3014/140576/1604/9819/4312/150737/6273/8969/9260/135398/26020/1305/30001/26052/5557/79366/7975/57154/9666/50854/100507436/55366/3105/2878/253039/1719/84973/3106/344595/145837/644873/441027/168455/3012",335
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","274/8349","323/21728",2.84367753472095e-67,7.71916266800001e-64,3.19988556275441e-64,"81691/1870/9918/54443/672/7869/10460/23649/4361/29781/54908/5982/5888/10721/10198/5424/55388/259266/55771/9319/4171/771/51512/284403/7374/10615/29089/56915/5933/5241/8438/79944/6790/22974/332/7023/24137/54930/79968/63967/8318/9942/990/23468/2289/9424/79019/7494/4174/5427/283578/4522/7443/9837/4605/4773/1869/81610/5422/6839/2491/23678/56704/4173/55723/3978/6119/5425/10105/51195/374/64151/91057/2305/4256/5985/57122/8914/56994/1303/26271/4172/51053/7272/2030/4001/8614/8458/6513/55157/3925/1509/4602/64858/89891/3070/91687/84930/7112/23397/11130/11113/1017/6491/60598/79902/7517/9787/58513/9088/63922/90417/1854/79733/79709/283120/23404/1786/51659/93323/29893/7153/63979/5111/4678/5983/85019/85004/10024/9700/5570/83990/10592/79075/6941/8836/9493/57082/79172/3832/55165/1763/580/283431/675/11001/55215/90381/3613/25800/3487/10733/11004/1952/51514/83879/2177/26018/890/6502/253714/113115/113130/54892/94122/84131/4288/3619/1111/79980/341640/23310/79682/55835/2674/1836/118980/29028/701/9133/84187/6781/8208/7031/54058/4796/9401/29127/147841/79622/124222/57650/5984/4886/9232/8645/55536/107/195828/9833/221150/220042/122769/3251/5979/144455/55839/4176/9768/5347/6240/81620/10036/51293/7083/55872/123099/55806/11031/2237/699/1138/983/55038/79801/157570/1826/596/6241/9156/254263/155185/11065/9134/79915/7298/5426/1662/80010/9212/8204/55526/64785/5121/10293/128239/126382/9735/157313/140707/149175/4603/130574/2175/3006/3014/144404/374393/3556/9687/7516/25788/641/6584/54898/5557/11169/9824/9722/54470/2189/3833/29128/80179",274
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5","CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5","CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5","359/8349","493/21728",2.4897555955267e-55,4.50562770937149e-52,1.86775349587231e-52,"57185/6482/3730/23034/4285/5583/22807/25897/7077/79567/3631/5874/140876/51474/23593/1001/81671/10838/22998/6558/8537/9697/84679/4205/65055/5597/4925/55062/490/6400/84708/55743/489/11343/51495/2975/10529/11043/5663/5205/7188/64744/334/57613/8648/8895/2060/83959/6548/2802/151887/7430/54566/25805/10321/11015/7078/638/4627/64781/5494/655/11083/5753/57761/9663/8780/56271/10725/51090/8766/3551/5862/6674/5516/898/1048/11033/3955/2887/113263/27075/10551/196/23731/51655/7126/5376/2549/51809/152503/51274/7358/6309/10938/6484/4891/79794/23329/9444/2257/10057/27086/2591/51652/3554/3398/6382/2034/1718/9528/55223/58480/79971/4610/8503/23673/54996/8609/5311/22936/9870/55640/51646/84918/8795/23240/79887/64786/8034/26994/116151/57403/10396/1948/7538/813/4430/57045/4016/51105/57509/112399/64097/2258/6303/23677/9518/54858/9885/9026/80328/6451/10487/23180/3597/23167/23108/54453/23037/3845/23508/5738/56907/2012/55312/10906/29109/10753/51719/55332/11014/55146/58489/9550/255488/132864/58472/7057/5861/316/306/83606/51228/55647/8816/463/9905/1213/64762/79092/2064/757/9980/3321/51097/6574/57007/9922/7110/90102/57552/9711/10769/10184/26260/6867/51125/84513/245972/2040/2934/210/138151/79949/5795/10205/84159/54545/57700/152485/3628/54842/120224/51128/7402/84910/55625/375056/4685/150696/1622/23362/3778/26119/8566/4047/9592/22941/79762/130814/3625/151195/1040/5783/166336/201895/285368/166929/253260/55568/54468/619279/54704/9897/2203/11244/360/123036/161742/55323/8495/440026/65084/144100/164/79837/64400/5090/79170/1499/378/8754/157638/25849/1501/10678/9306/10892/10605/94009/10690/49854/1605/11163/10276/26996/23612/8322/79666/54621/55884/100049716/56475/56975/7334/51272/143888/51806/2066/81575/2517/2624/222166/374986/80045/25994/439921/3985/22906/253190/83999/93164/4070/254887/9276/642273/5087/144233/23048/4059/342979/1364/6284/10388/1604/4763/29966/85379/375791/399717/5167/92689/23303/55552/4151/65124/200734/7975/140606/9848/542767/23012/5500/1192/55739/340267/100130449/378805/100507516/7844/26286/147007/145837/100505989/9236/140735/9554/256302",359
"KOBAYASHI_EGFR_SIGNALING_24HR_DN","KOBAYASHI_EGFR_SIGNALING_24HR_DN","KOBAYASHI_EGFR_SIGNALING_24HR_DN","212/8349","253/21728",2.04968637538547e-50,2.78193683299193e-47,1.15321828173004e-47,"51330/672/23649/25937/55635/54908/5982/5888/131566/55388/259266/51018/9319/3161/4171/54962/51512/7374/10615/10403/4998/6790/22974/332/24137/54517/3655/23594/8318/990/4436/3589/5902/29775/79019/4174/5905/5427/1033/7443/5411/9837/4605/28231/10528/1869/5422/4173/55723/7980/4233/2146/22943/10105/374/64151/595/10635/5985/8914/83461/2026/4172/51053/896/7272/2030/4001/10051/1894/1058/4953/991/4751/9928/22936/3070/11340/7112/1846/23397/11130/10212/1017/6491/55355/1164/1434/2069/6662/9787/9088/10606/11135/8520/1854/79733/54478/10038/51659/7283/29893/7153/6627/5111/5983/891/84722/55143/8638/4907/9700/55270/10592/79075/7280/8870/9493/3832/1847/55165/580/1848/55215/10733/11004/7371/51514/6574/890/54892/5631/4288/79980/8091/93081/23310/79682/57405/29028/701/29980/6781/29127/51728/899/7398/7039/56992/5984/3015/3148/4085/80155/55568/26872/2171/9833/55839/4176/63901/5347/6240/81620/558/10036/7083/55872/2237/699/983/136/5036/55038/81831/79801/1503/6241/1798/1163/9156/11065/9134/8061/84617/8877/7298/80010/9212/7262/64785/3838/7378/23764/4603/146909/54821/4673/51182/10383/3014/2707/203068/25788/641/5557/200734/29902/23234/1719/2119/25907",212
"JOHNSTONE_PARVB_TARGETS_3_UP","JOHNSTONE_PARVB_TARGETS_3_UP","JOHNSTONE_PARVB_TARGETS_3_UP","311/8349","433/21728",6.11041387582374e-46,6.63468738636942e-43,2.7503294455813e-43,"5166/1856/64847/6482/928/9961/823/30846/10062/7431/8635/2530/5606/7077/7204/79567/54884/4134/5954/493/64761/81671/5476/9950/1316/3430/602/224/37/771/9620/60/5337/7879/25930/2260/4779/334/55624/10075/51433/10985/3383/83394/26277/1832/6319/2872/11078/3162/4627/5836/23002/5641/394/4792/5834/11083/55738/25939/9371/182/1471/9388/8406/7076/57149/80381/57617/23678/3551/1891/25865/29997/8887/23731/1955/22949/23268/81855/80351/1362/3959/4669/10493/8714/374/23158/23130/10938/81622/595/8496/9761/2026/135114/7803/84836/54800/7433/1981/55240/79745/6711/2335/2744/3241/2034/54206/79971/965/3964/1889/1509/9429/114818/4072/26503/399979/1191/847/8743/84293/5328/10133/4035/1757/84612/84969/8675/9208/79026/79144/718/101410538/3976/3949/85441/9467/9945/47/5791/3691/2319/694/9645/22800/4017/3656/8553/4853/89796/301/4076/2799/58489/9314/7099/7057/55075/26509/1847/80144/8826/123920/11322/5366/162427/10410/79180/8804/388/55252/79137/9180/23092/10318/10957/123/7357/2934/57720/9919/472/3992/7108/3176/27250/196463/83643/54842/84910/23043/7071/4343/119392/9334/4681/50848/1476/8878/11282/84447/3716/284996/57326/476/7048/6314/54502/7086/3673/10370/25798/22853/1508/54704/203259/360/145567/5654/1200/65084/6778/4088/2801/56905/147138/4054/54541/9022/10491/81603/2548/5621/7857/6641/1051/9915/253725/5970/10221/1605/3728/10594/3177/26470/125144/57804/11145/29952/2629/2314/7056/81889/5062/716/80781/9284/146754/4070/1435/10801/10509/7127/7026/5034/8519/283149/4673/1645/375790/140576/1364/8644/6275/6829/1604/6273/2316/307/11152/3482/1778/5094/51703/373156/5660/4641/26112/801/57154/91300/3897/7052/2664/3133/3134/55366/54741/1052/112597/100506599/6892/3106/5098/10687/23089/283131/55766/157285",311
"BLUM_RESPONSE_TO_SALIRASIB_DN","BLUM_RESPONSE_TO_SALIRASIB_DN","BLUM_RESPONSE_TO_SALIRASIB_DN","256/8349","341/21728",1.11768329278814e-43,1.01131709942447e-40,4.19229277189657e-41,"672/10460/23649/25937/4361/1373/4285/3149/5982/5888/23596/8975/5424/10362/4913/5141/5315/865/7030/9993/9319/6596/5134/8243/3161/4171/6605/2023/10615/7419/5050/3835/3320/10403/4998/51593/6790/22974/24137/23594/10762/8318/990/4436/8317/4670/5902/11252/4174/9978/2287/1690/5427/1033/4522/7443/4605/994/1869/5422/4281/6839/3978/1628/94239/3315/23658/6119/2146/4232/3837/10951/1277/64151/10635/8099/5985/57122/8914/7167/26271/6428/4172/51053/896/7272/10112/10051/7348/1058/3398/6382/7072/1718/3065/6421/5997/5999/991/8503/3925/4751/1063/7112/4801/3181/11130/1031/10212/1017/6491/1164/6431/1434/6659/7913/6662/2354/631/3397/81537/1123/57045/1854/10776/2593/1786/51659/7283/29893/47/4695/7153/10401/64087/6627/6117/4147/5111/4678/5983/4212/3939/324/23670/10492/10024/9700/1660/64759/6426/6434/10592/7280/9493/1545/3832/9585/51163/580/11001/8125/26502/10733/23421/11004/22823/8490/1382/5993/2590/142/890/6502/10788/5631/4288/3619/1111/8479/11098/5352/4929/56172/518/1633/701/9133/995/9334/8208/4000/9401/6427/899/115/7398/56992/5984/3015/4085/9232/10935/1152/5347/10982/6240/10036/7083/4054/55872/5867/1841/2237/3667/699/2194/10477/983/2353/6419/5209/3726/5223/6241/9416/9156/11041/11065/9134/7298/6470/5426/7334/9212/9282/2535/8204/2149/3838/1468/54101/10801/1645/51182/2175/10383/10772/51155/3146/203068/51427/5557/1719/10432/31",256
"CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP","CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP","CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP","317/8349","454/21728",1.19322699173129e-42,9.25432762587025e-40,3.83626963657368e-40,"6405/80853/79017/79090/29116/9066/55596/26751/999/5874/140876/56204/23247/7984/5652/954/10188/1001/8537/2065/79641/79364/11320/537/84708/54847/3993/771/27092/9618/57662/10529/93664/1741/22996/6820/10961/645/2099/23428/51430/29911/1153/2872/23598/638/23002/9517/3705/9766/9252/5106/80344/57761/113278/4832/79918/79152/2935/79719/25865/79784/1628/51599/23288/83451/27075/10551/1955/56654/2625/8030/25984/7466/10612/57460/80824/23329/5869/5777/59084/5618/23007/7433/57669/3485/80303/79083/57535/51107/2166/55686/4602/80306/4329/4072/4488/85320/81579/57580/27076/25803/64284/79144/10045/58495/23263/89846/79717/55930/3169/64097/7905/54795/9026/54897/54869/55107/64087/2319/5509/10207/23508/377/85019/85004/92558/29923/26298/9053/64215/9649/255488/6653/84000/6821/11226/51380/7009/7090/55466/91947/25989/10066/91862/10140/64762/2064/2886/90324/114783/79258/79932/84958/1580/81607/1382/57530/55793/8416/8991/2029/10899/6279/148327/9580/388/23635/64777/2041/27315/85456/84364/6768/7108/27250/341640/120224/23171/118932/153562/55286/150696/51643/5097/197258/776/1831/114822/26504/50848/124044/3898/8659/2063/9619/7033/7031/196264/51043/23623/563/84988/93210/25946/146439/124222/124220/22941/57648/55450/151473/3625/1999/92703/84283/1040/54502/6286/5364/10559/202915/158158/2203/1365/123036/6692/8495/23423/79837/399665/79170/147798/10653/124975/283987/123099/91949/10116/1501/4255/84331/118430/80194/5017/54961/93624/79703/3728/26996/6712/3177/2523/79666/285489/55057/4642/8408/79874/140461/51027/11180/22882/114932/54813/23042/80045/286077/23401/163183/168544/1366/161291/3985/2049/18/2188/11187/11274/27124/59307/25840/613/50626/51463/647024/1201/401546/1364/57402/10388/4646/343990/92714/123096/56882/9814/4151/161145/388743/780/2013/10809/79680/55449/100131187/1159/100506492/9674/5863/7844/1945/1050/55766/6414/83481/100133941",317
"RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN","RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN","RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN","277/8349","383/21728",6.05543206242421e-42,4.10936758336263e-39,1.70348865124513e-39,"55013/51099/5329/211/30846/960/56895/578/10908/9168/4134/51474/9454/639/4084/25791/9950/1316/5526/54626/5597/23446/8974/8626/771/56681/50509/22839/28962/9689/55287/8655/5829/6548/10558/26277/10762/5742/1832/79629/9424/5594/29775/85377/11015/10043/27351/1690/51635/3091/51527/9321/9683/79650/3163/57214/171177/10226/11140/136319/55033/8976/3614/10652/55664/57589/3292/55379/7126/10938/23603/83892/51026/54516/5467/64065/9749/4124/1839/5917/1452/80315/23276/55041/6382/55700/6513/23673/8609/22936/9991/23307/8111/113/3624/29095/54210/1026/9208/2069/79026/23550/27111/9572/51119/64768/148022/7277/2770/3872/112399/7905/57572/84337/79016/78992/6249/80328/3597/84951/84674/8650/55207/5738/3939/948/26136/4907/9958/1368/55852/1317/25822/58472/9635/6744/122786/85439/90527/92912/91947/57707/79755/115704/83442/81607/6279/114884/5066/56929/81555/81786/84985/56169/7436/29982/26091/85450/8038/133/196463/5756/51128/221393/200014/204219/7071/401647/571/25921/144406/57822/1827/9114/112939/54751/84648/3713/84283/57406/54861/51304/166929/1849/401152/26269/5229/285761/9263/55568/2171/51271/2706/5654/170689/81565/4319/79837/10999/7171/4218/1613/3489/54442/378/11031/649/10098/6699/7798/5099/126917/201799/10015/26115/80131/84230/11346/682/80765/5017/4615/9943/10855/254102/257364/64859/3728/53833/285590/2810/84617/55057/284207/284119/80045/79098/7378/6525/163778/25923/10509/3854/7332/23299/3868/647024/123879/4520/51155/4312/3269/2760/6273/29966/837/5718/4644/30001/6277/7975/801/51734/4860/91300/574414/1041/80352/3853/317762/54978/147040/1454/9842/84752/83481/11072",277
"REN_ALVEOLAR_RHABDOMYOSARCOMA_DN","REN_ALVEOLAR_RHABDOMYOSARCOMA_DN","REN_ALVEOLAR_RHABDOMYOSARCOMA_DN","289/8349","407/21728",3.43087166215742e-41,2.06957802820585e-38,8.57918551309072e-39,"55013/51330/9043/3423/9902/51099/5329/60481/54480/8439/7077/26064/822/3074/51474/23593/131566/1265/9697/64834/1316/7132/7030/4925/10272/55062/3340/9948/537/87/37/3998/10512/64778/832/28962/5351/25978/54434/334/2017/2683/10961/54918/8829/11015/4627/1471/10857/9949/2000/7355/7076/64131/57214/23516/7991/7040/7980/858/857/55033/1174/10652/10952/2022/56654/81855/3959/5878/1277/10493/55379/7358/10938/595/975/2004/10094/7421/2784/4124/4015/10802/2771/1796/2202/2335/80219/2274/55041/26003/25797/2034/6342/9528/5768/79971/3964/6675/3399/64175/50999/23673/1490/5311/64747/22936/60370/1843/29880/27230/1191/64236/847/3624/5328/5033/10549/4035/4835/55715/6238/8273/5908/8459/813/4430/4016/7905/1289/6249/10487/23180/3597/2926/4017/2012/25941/55858/301/4907/26056/2799/3915/5270/55332/5879/7094/58472/7057/102/5861/10097/3417/3685/29766/23710/9107/4240/8826/1039/25800/396/60681/1291/1292/83442/7371/1893/375/2052/51454/4026/57205/9180/5066/81555/7162/1956/2934/9536/23052/7424/9871/2697/831/50807/5578/6782/389/27020/55707/8321/8450/8407/9114/7791/8566/1476/55129/4061/1173/3678/8613/3716/51375/10092/8682/10611/285203/1999/7048/5783/308/10085/26872/1508/4982/6990/5654/2200/1200/23423/81565/6778/4088/51450/7171/558/3489/378/11031/649/8754/221749/8460/4071/29071/5728/51030/55970/2745/1212/8877/627/284119/475/977/2535/90411/79642/1728/55076/286451/64764/2131/10159/716/439921/302/2621/6525/5587/9276/5034/10134/3916/6284/837/11152/55742/6281/6277/2673/9358/27347/9060/25829/4758/6643/54458/54741/1192/7106/6892/81567/9236/11072",289
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","128/8349","140/21728",9.10691531572189e-40,4.94414432490541e-37,2.04953525736983e-37,"55013/1951/672/10460/23649/637/9168/54908/1829/10721/55388/259266/9319/3161/4171/51512/10615/5050/10403/51668/6790/1789/22974/332/24137/990/79019/26499/9837/4605/51012/1869/10166/11339/4173/55723/6119/2146/64151/2305/10635/83461/26271/51053/7272/10112/4001/10051/1894/1058/991/4751/1063/9928/3070/7112/23397/11130/6491/55355/1164/9787/79733/7153/5111/891/55143/25941/9700/10592/3159/8836/9493/3832/55165/9585/1763/1062/55215/11004/81611/51514/890/84296/4288/1111/79682/5603/29028/701/7804/9133/8208/29127/899/124222/56992/3015/3148/4085/9232/9833/9768/5347/7083/29901/55872/1841/2237/54951/699/983/81831/79801/6241/11065/9134/7298/9212/9582/3838/146909/54821/3014/51155/1719/3833/31",128
