"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"HSIAO_HOUSEKEEPING_GENES","HSIAO_HOUSEKEEPING_GENES","HSIAO_HOUSEKEEPING_GENES","42/712","399/21728",3.0239067272241e-11,1.23828980479827e-07,1.11120614576203e-07,"9168/7175/60/3320/2512/10992/1312/3326/4627/8896/1982/2597/6152/6418/1314/821/3178/2752/10541/11224/6194/6176/6187/142/6161/6189/6834/6130/8878/6159/3611/6157/1642/2495/3921/7314/1072/6165/9045/6136/7114/6235",42
"REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION","24/712","157/21728",3.3643779017931e-10,6.88856375392138e-07,6.18160171324196e-07,"5431/7175/3320/5434/6207/6152/821/11224/6194/6176/6187/142/6161/6189/6130/6159/200916/6157/3921/811/6165/9045/6136/6235",24
"KEGG_RIBOSOME","KEGG_RIBOSOME","KEGG_RIBOSOME","17/712","88/21728",3.34911535807905e-09,4.34619456252741e-06,3.90015171718609e-06,"6207/6152/11224/6194/6176/6187/6161/6189/6130/6159/200916/6157/3921/6165/9045/6136/6235",17
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","19/712","113/21728",4.6166964230553e-09,4.34619456252741e-06,3.90015171718609e-06,"29927/23471/6207/6152/11224/6194/6176/6187/6161/6189/6130/6159/200916/6157/3921/6165/9045/6136/6235",19
"PECE_MAMMARY_STEM_CELL_UP","PECE_MAMMARY_STEM_CELL_UP","PECE_MAMMARY_STEM_CELL_UP","21/712","139/21728",5.30670886755483e-09,4.34619456252741e-06,3.90015171718609e-06,"9168/6207/2597/64065/6152/7277/348/347733/6176/6187/6130/6157/4141/3921/3856/1267/401466/6165/1645/780/6235",21
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","17/712","94/21728",9.57509764195406e-09,6.53500414063365e-06,5.86432734527397e-06,"6207/6152/11224/6194/6176/6187/6161/6189/6130/6159/200916/6157/3921/6165/9045/6136/6235",17
"CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP","CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP","CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP","13/712","54/21728",1.44642830591303e-08,8.46160558959125e-06,7.59320483600361e-06,"6207/6152/3178/11224/6194/6176/6161/6130/6159/6157/3921/6165/9045",13
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","16/712","90/21728",3.35700540826005e-08,1.55501872303738e-05,1.39542969272501e-05,"6207/6152/11224/6194/6176/6187/6161/6189/6130/6159/6157/3921/6165/9045/6136/6235",16
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","17/712","102/21728",3.41762356711512e-08,1.55501872303738e-05,1.39542969272501e-05,"6207/6152/11224/6194/6176/6187/6161/6189/6130/6159/200916/6157/3921/6165/9045/6136/6235",17
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","18/712","116/21728",4.2820776893783e-08,1.75351081380042e-05,1.57355086459154e-05,"6207/6152/2107/11224/6194/6176/6187/6161/6189/6130/6159/200916/6157/3921/6165/9045/6136/6235",18
