"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","90/695","323/21728",5.60520730650119e-59,2.56942702930014e-55,1.63790057714182e-55,"54443/10460/5982/8839/259266/55771/9319/4171/284403/5241/6790/22974/332/7023/24137/5427/4522/10202/4605/5932/2717/6387/4256/1303/7164/7272/4001/6513/55157/3925/4602/23397/11130/11113/9787/1854/283120/51659/7153/5983/114904/85004/10024/9700/5570/10592/79075/6941/57082/3832/55165/675/55215/10733/11004/1952/2177/890/94122/4288/341640/79682/2674/29028/9133/9401/29127/57650/4886/9232/221150/5979/4176/5347/23306/81620/55872/55806/699/983/596/6241/11065/9212/8204/128239/4603/9687/54898/9824",90
"FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","71/695","190/21728",1.29081952493049e-56,2.95855835114068e-53,1.88595526379318e-53,"7035/54443/10460/55635/259266/55771/3161/54820/10403/6790/22974/332/24137/1033/4605/5054/10635/7272/10112/4001/10051/1058/2335/991/4751/9928/23397/81930/11130/9787/54478/151648/7153/891/55143/10024/9700/3832/1062/675/55215/10733/11004/83540/2177/4288/79682/9133/29127/57650/3148/4085/9232/221150/5347/23306/55872/150468/699/983/6241/1163/11065/414149/9212/128239/55010/653820/347/9824/286827",71
"KOBAYASHI_EGFR_SIGNALING_24HR_DN","KOBAYASHI_EGFR_SIGNALING_24HR_DN","KOBAYASHI_EGFR_SIGNALING_24HR_DN","70/695","253/21728",1.21240228103596e-45,1.85255068542294e-42,1.18092236215994e-42,"55635/5982/259266/9319/3161/4171/10403/6790/22974/332/24137/3655/23594/3589/5427/1033/4605/28231/22943/10635/896/7272/4001/10051/1058/991/4751/9928/23397/11130/9787/10606/1854/54478/51659/7153/5983/891/55143/4907/9700/10592/79075/3832/55165/55215/10733/11004/890/4288/79682/29028/29127/7039/3148/4085/4176/5347/23306/81620/55872/699/983/6241/1163/11065/9212/7262/4603/4673",70
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","52/695","140/21728",1.81335288977876e-41,2.07810241168645e-38,1.32470200579627e-38,"10460/1829/259266/9319/3161/4171/10403/6790/1789/22974/332/24137/4605/10635/7272/10112/4001/10051/1058/991/4751/9928/23397/11130/9787/7153/891/55143/9700/10592/3832/55165/9585/1062/55215/11004/890/4288/79682/29028/9133/29127/3148/4085/9232/5347/55872/699/983/6241/11065/9212",52
"CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP","CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP","CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP","53/695","179/21728",2.1418968961271e-36,1.96369107436932e-33,1.25176963866291e-33,"54443/55635/1535/259266/55771/9319/4171/10403/6790/22974/332/24137/3912/23594/1033/10635/7272/10112/4001/10051/991/4751/9928/11130/9787/283120/7153/891/10970/79075/3832/55165/1062/55215/9123/10609/11004/83540/890/4288/9133/29127/476/3148/4085/9232/55872/150468/983/11065/9212/780/4082",53
"HORIUCHI_WTAP_TARGETS_DN","HORIUCHI_WTAP_TARGETS_DN","HORIUCHI_WTAP_TARGETS_DN","66/695","318/21728",1.15981317820623e-34,8.86097268149561e-32,5.64849365386052e-32,"54443/55635/259266/55771/9319/3161/2222/10403/6790/22974/332/24137/1033/4605/994/2091/22943/10635/4256/7272/10112/4001/1058/991/4751/9928/7852/57486/9787/10606/54478/80328/7153/23164/891/55143/10024/9700/57082/3832/55165/11004/83540/2177/890/6130/4288/9133/29127/3148/4085/9232/221150/4176/5347/55872/150468/699/2194/983/6241/1163/11065/9212/169200/4673",66
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","48/695","154/21728",3.22040813351084e-34,2.10890726914481e-31,1.34433879377836e-31,"10460/259266/9319/3161/4171/10403/6790/22974/332/24137/1033/4605/7272/10112/4001/1058/991/3925/4751/9928/23397/11130/9787/54478/7153/891/55143/10024/9700/79075/3832/55165/1062/11004/890/4288/79682/9133/29127/4085/9232/5347/699/983/6241/11065/9212/55010",48
"CROONQUIST_IL6_DEPRIVATION_DN","CROONQUIST_IL6_DEPRIVATION_DN","CROONQUIST_IL6_DEPRIVATION_DN","39/695","95/21728",2.29489124055168e-33,1.31497268083611e-30,8.38239221548878e-31,"9319/3161/4171/6790/22974/5427/1033/4605/10051/1058/991/3925/9928/23397/11130/1854/7153/5983/891/10592/3832/1062/55215/10733/11004/890/4288/9133/3148/4085/9232/4176/5347/699/983/6241/1163/11065/9212",39
"FISCHER_G2_M_CELL_CYCLE","FISCHER_G2_M_CELL_CYCLE","FISCHER_G2_M_CELL_CYCLE","56/695","236/21728",9.10016041153197e-33,4.63501503627362e-30,2.95462518156874e-30,"54443/10460/55635/259266/9319/3161/54820/10403/6790/22974/332/994/57214/7272/10112/1058/991/4751/9928/23397/81930/11113/54478/151648/7153/3337/891/55143/10024/9700/3832/55165/9585/1062/10733/11004/83540/890/4288/9133/29127/3148/4085/9232/5347/55872/150468/699/983/1163/11065/9212/23580/128239/9824/286827",56
"BASAKI_YBX1_TARGETS_UP","BASAKI_YBX1_TARGETS_UP","BASAKI_YBX1_TARGETS_UP","60/695","293/21728",3.10347439005272e-31,1.42263266040017e-28,9.0686788492488e-29,"54443/55635/5982/259266/9319/4171/10403/6790/22974/332/24137/23594/1033/4522/4792/30844/857/22943/7468/896/10112/57415/1058/991/4751/11130/4502/51659/5983/891/55143/9700/2317/10592/7057/55165/55215/11004/83540/890/10769/7739/4288/79682/9133/124565/3148/4085/9232/10395/4176/5347/144501/55872/699/983/11065/627/9212/4603",60
